ORPHA:251576	FGFR1
ORPHA:251576	SEPTIN14
ORPHA:251576	PPARG
ORPHA:251576	TP53
ORPHA:251576	EGFR
ORPHA:251576	MGMT
ORPHA:251576	FGFR3
ORPHA:251576	NFKBIA
ORPHA:251576	LZTR1
ORPHA:251576	TACC1
ORPHA:251576	IDH1
ORPHA:251576	TACC3
ORPHA:85294	SYN1
ORPHA:171866	ACAN
ORPHA:228337	CTSD
ORPHA:370924	STT3B
ORPHA:263548	SERPINB8
ORPHA:263548	CHST8
ORPHA:263548	FLG2
ORPHA:53689	SLC26A3
ORPHA:370927	SSR4
ORPHA:3162	CTLA4
ORPHA:3162	CD28
ORPHA:3162	TNFRSF1B
ORPHA:3163	PIK3R1
ORPHA:85277	NEXMIF
ORPHA:85278	SLC9A6
ORPHA:85279	KDM5C
ORPHA:85284	MBTPS2
ORPHA:457395	RSPRY1
ORPHA:85286	RBMX
ORPHA:85287	PHF8
ORPHA:90625	PRPS1
ORPHA:90625	COL4A6
ORPHA:90625	SMPX
ORPHA:85282	EIF2S3
ORPHA:228302	CPT2
ORPHA:369970	ADAMTS18
ORPHA:3166	GNE
ORPHA:53691	KERA
ORPHA:330032	HBB
ORPHA:330032	HBD
ORPHA:53690	LCT
ORPHA:228305	CPT2
ORPHA:53693	BCS1L
ORPHA:370930	XYLT1
ORPHA:647681	ERF
ORPHA:228308	CPT2
ORPHA:53697	ANO5
ORPHA:370933	ST3GAL5
ORPHA:53696	GLE1
ORPHA:52368	TIMM8A
ORPHA:444099	CPT1C
ORPHA:444092	COPA
ORPHA:369962	HCFC1
ORPHA:263534	TGM5
ORPHA:263534	CSTA
ORPHA:555877	FLNA
ORPHA:3152	LRP4
ORPHA:3152	SOST
ORPHA:633035	COPB1
ORPHA:171851	AP1B1
ORPHA:171851	AP1S1
ORPHA:65684	CPLANE1
ORPHA:65684	CEP126
ORPHA:599418	KNG1
ORPHA:599418	HS3ST6
ORPHA:599418	MYOF
ORPHA:599418	ANGPT1
ORPHA:171848	ABHD12
ORPHA:647676	CANT1
ORPHA:314811	GHSR
ORPHA:330041	HBB
ORPHA:330041	HBA1
ORPHA:330041	HBA2
ORPHA:3156	TRAF3IP1
ORPHA:3156	IQCB1
ORPHA:3156	SDCCAG8
ORPHA:3156	INVS
ORPHA:3156	CEP290
ORPHA:3156	NPHP1
ORPHA:3156	NPHP4
ORPHA:3156	WDR19
ORPHA:3156	NPHP3
ORPHA:3156	CEP164
ORPHA:3157	FGFR1
ORPHA:3157	PROKR2
ORPHA:3157	SOX2
ORPHA:3157	SOX3
ORPHA:3157	ARNT2
ORPHA:3157	HESX1
ORPHA:3157	OTX2
ORPHA:97249	PCLO
ORPHA:370943	SLC35A3
ORPHA:238569	IL10
ORPHA:238569	IL10RA
ORPHA:238569	IL10RB
ORPHA:71493	MPL
ORPHA:71493	THPO
ORPHA:71493	JAK2
ORPHA:3261	FAS
ORPHA:3261	FASLG
ORPHA:3261	CASP10
ORPHA:263524	CPT2
ORPHA:263524	RANBP2
ORPHA:435988	SGO1
ORPHA:83473	CCND2
ORPHA:83473	PIK3R2
ORPHA:83473	AKT3
ORPHA:217622	EYA4
ORPHA:99818	APC
ORPHA:572428	OAS1
ORPHA:99819	TSHR
ORPHA:99812	XRCC4
ORPHA:99812	LIG4
ORPHA:169467	CFD
ORPHA:94124	TDP1
ORPHA:94122	ATCAY
ORPHA:447977	ACTA1
ORPHA:447974	MYO18B
ORPHA:295243	PIK3CA
ORPHA:169464	CD59
ORPHA:99810	COLGALT1
ORPHA:99810	COL4A1
ORPHA:99810	COL4A2
ORPHA:94125	POLG
ORPHA:99811	FLNA
ORPHA:75840	COL12A1
ORPHA:75840	COL6A1
ORPHA:75840	COL6A2
ORPHA:75840	COL6A3
ORPHA:263516	KCTD7
ORPHA:447980	NFIX
ORPHA:238578	TBX4
ORPHA:3250	NOG
ORPHA:3250	GDF5
ORPHA:83465	HLA-DQB1
ORPHA:83465	HCRT
ORPHA:83465	ZNF365
ORPHA:83465	HLA-DRB1
ORPHA:83463	HOXA2
ORPHA:83469	EWSR1
ORPHA:83469	WT1
ORPHA:83472	ZNF592
ORPHA:83472	WDR73
ORPHA:99806	FADD
ORPHA:99806	FGF3
ORPHA:597738	SETD2
ORPHA:83471	FOXN1
ORPHA:99807	CCDC88A
ORPHA:75858	INPP5E
ORPHA:295239	PIK3CA
ORPHA:3253	NECTIN1
ORPHA:99802	PIK3CA
ORPHA:99802	MTOR
ORPHA:99802	AKT3
ORPHA:75857	ERMARD
ORPHA:99803	RET
ORPHA:99803	ASCL1
ORPHA:99803	PHOX2B
ORPHA:3255	CKAP2L
ORPHA:3258	LRP4
ORPHA:3258	APC
ORPHA:597733	DCT
ORPHA:263508	COG1
ORPHA:263501	COG4
ORPHA:86	COL3A1
ORPHA:3240	KARS1
ORPHA:87	FGFR2
ORPHA:535458	GPIHBP1
ORPHA:88	IFNG
ORPHA:88	PRF1
ORPHA:88	TERC
ORPHA:88	SBDS
ORPHA:88	TERT
ORPHA:83454	GLMN
ORPHA:178396	SERPINA1
ORPHA:137893	DNAH10
ORPHA:137893	ARMC12
ORPHA:137893	AKAP3
ORPHA:137893	DNHD1
ORPHA:137893	CFAP61
ORPHA:137893	AURKC
ORPHA:137893	CFAP47
ORPHA:137893	IFT74
ORPHA:83461	FOXE3
ORPHA:251523	PSTPIP1
ORPHA:137898	DARS2
ORPHA:95433	PEX6
ORPHA:82	SERPINC1
ORPHA:3243	MEFV
ORPHA:3243	PTPN6
ORPHA:535453	LMF1
ORPHA:447954	MARS2
ORPHA:84	BRCA1
ORPHA:84	MAD2L2
ORPHA:84	XRCC2
ORPHA:84	UBE2T
ORPHA:84	BRCA2
ORPHA:84	FANCL
ORPHA:84	FANCD2
ORPHA:84	FANCA
ORPHA:84	FANCB
ORPHA:84	FANCC
ORPHA:84	FANCE
ORPHA:84	FANCF
ORPHA:84	FANCG
ORPHA:84	RAD51
ORPHA:84	RAD51C
ORPHA:84	RFWD3
ORPHA:84	BRIP1
ORPHA:84	FANCM
ORPHA:84	PALB2
ORPHA:84	SLX4
